date,initialDoses,finalDoses,firstBoosterDoses,totalDoses
2020-12-26,0,0,0,0
2020-12-27,24344,0,0,24344
2020-12-28,18045,0,0,18045
2020-12-29,50073,0,0,50073
2020-12-30,64079,0,0,64079
2020-12-31,49913,0,0,49913
2021-01-01,25549,0,0,25549
2021-01-02,47981,0,0,47981
2021-01-03,22544,0,0,22544
2021-01-04,46081,0,0,46081
2021-01-05,52611,0,0,52611
2021-01-06,63027,0,0,63027
2021-01-07,54779,0,0,54779
2021-01-08,62705,0,0,62705
2021-01-09,60575,0,0,60575
2021-01-10,35871,0,0,35871
2021-01-11,68225,0,0,68225
2021-01-12,79074,0,0,79074
2021-01-13,111958,0,0,111958
2021-01-14,83904,0,0,83904
2021-01-15,90859,918,0,91777
2021-01-16,56836,1221,0,58057
2021-01-17,30792,17010,0,47802
2021-01-18,67211,15615,0,82826
2021-01-19,83296,36039,0,119335
2021-01-20,78942,53748,0,132690
2021-01-21,64579,40907,0,105486
2021-01-22,68741,33575,0,102316
2021-01-23,40495,46520,0,87015
2021-01-24,25685,22117,0,47802
2021-01-25,52276,38728,0,91004
2021-01-26,50682,47725,0,98407
2021-01-27,50939,58440,0,109379
2021-01-28,46817,45715,0,92532
2021-01-29,49829,57862,0,107691
2021-01-30,34611,53466,0,88077
2021-01-31,25759,31455,0,57214
2021-02-01,58028,61899,0,119927
2021-02-02,65146,67277,0,132423
2021-02-03,64378,98364,0,162742
2021-02-04,61660,72493,0,134153
2021-02-05,69049,78154,0,147203
2021-02-06,45532,48527,0,94059
2021-02-07,28280,25275,0,53555
2021-02-08,52972,56324,0,109296
2021-02-09,60189,74087,0,134276
2021-02-10,77610,77666,0,155276
2021-02-11,75348,68941,0,144289
2021-02-12,80038,75944,0,155982
2021-02-13,62011,45808,0,107819
2021-02-14,39598,25829,0,65427
2021-02-15,69936,55656,0,125592
2021-02-16,78289,56449,0,134738
2021-02-17,95383,56397,0,151780
2021-02-18,91472,53324,0,144796
2021-02-19,103019,55922,0,158941
2021-02-20,76116,36329,0,112445
2021-02-21,57660,28303,0,85963
2021-02-22,98063,58165,0,156228
2021-02-23,109817,60267,0,170084
2021-02-24,117502,59281,0,176783
2021-02-25,130806,59090,0,189896
2021-02-26,146308,67482,0,213790
2021-02-27,108240,39786,0,148026
2021-02-28,79230,24186,0,103416
2021-03-01,149078,49978,0,199056
2021-03-02,167533,52171,0,219704
2021-03-03,177452,70696,0,248148
2021-03-04,182331,63084,0,245415
2021-03-05,207942,67214,0,275156
2021-03-06,154013,48725,0,202738
2021-03-07,114282,33520,0,147802
2021-03-08,186269,51853,0,238122
2021-03-09,197851,54940,0,252791
2021-03-10,222293,67448,0,289741
2021-03-11,223974,60958,0,284932
2021-03-12,256315,71099,0,327414
2021-03-13,190743,50390,0,241133
2021-03-14,134647,35686,0,170333
2021-03-15,189513,59303,0,248816
2021-03-16,111171,68315,0,179486
2021-03-17,124648,80985,0,205633
2021-03-18,118220,75524,0,193744
2021-03-19,161108,84424,0,245532
2021-03-20,167337,53391,0,220728
2021-03-21,126478,38314,0,164792
2021-03-22,193051,76714,0,269765
2021-03-23,217158,84356,0,301514
2021-03-24,250519,89673,0,340192
2021-03-25,252383,81194,0,333577
2021-03-26,286161,88832,0,374993
2021-03-27,219332,62459,0,281791
2021-03-28,143305,53316,0,196621
2021-03-29,217382,88811,0,306193
2021-03-30,236825,92777,0,329602
2021-03-31,235657,101907,0,337564
2021-04-01,236951,91260,0,328211
2021-04-02,157921,68091,0,226012
2021-04-03,167631,64652,0,232283
2021-04-04,142609,50566,0,193175
2021-04-05,177736,70401,0,248137
2021-04-06,279060,94879,0,373939
2021-04-07,572258,96503,0,668761
2021-04-08,612022,87883,0,699905
2021-04-09,543950,89128,0,633078
2021-04-10,307609,65124,0,372733
2021-04-11,213532,50394,0,263926
2021-04-12,342673,76460,0,419133
2021-04-13,503771,73755,0,577526
2021-04-14,693103,83339,0,776442
2021-04-15,611415,70317,0,681732
2021-04-16,523688,74356,0,598044
2021-04-17,309487,56695,0,366182
2021-04-18,230629,39052,0,269681
2021-04-19,341719,61544,0,403263
2021-04-20,499028,62909,0,561937
2021-04-21,648861,73398,0,722259
2021-04-22,572288,67401,0,639689
2021-04-23,488059,69224,0,557283
2021-04-24,306893,59134,0,366027
2021-04-25,233989,49180,0,283169
2021-04-26,359728,74101,0,433829
2021-04-27,694941,91591,0,786532
2021-04-28,998040,126534,0,1124574
2021-04-29,814716,133066,0,947782
2021-04-30,668792,136671,0,805463
2021-05-01,262834,73745,0,336579
2021-05-02,199463,65624,0,265087
2021-05-03,337736,114976,0,452712
2021-05-04,684996,158944,0,843940
2021-05-05,920274,228537,0,1148811
2021-05-06,772784,219935,0,992719
2021-05-07,658258,234428,0,892686
2021-05-08,273705,152547,0,426252
2021-05-09,184816,101494,0,286310
2021-05-10,400319,189929,0,590248
2021-05-11,802602,284810,0,1087412
2021-05-12,1056303,361593,0,1417896
2021-05-13,271302,158121,0,429423
2021-05-14,534712,222631,0,757343
2021-05-15,239363,161220,0,400583
2021-05-16,165473,116764,0,282237
2021-05-17,359916,196081,0,555997
2021-05-18,526022,346845,0,872867
2021-05-19,576542,522424,0,1098966
2021-05-20,467060,482327,0,949387
2021-05-21,418427,433641,0,852068
2021-05-22,229447,244614,0,474061
2021-05-23,133824,151272,0,285096
2021-05-24,149282,176741,0,326023
2021-05-25,297618,358454,0,656072
2021-05-26,548335,631807,0,1180142
2021-05-27,485812,555919,0,1041731
2021-05-28,440795,463927,0,904722
2021-05-29,179987,230663,0,410650
2021-05-30,109005,174733,0,283738
2021-05-31,221426,326033,0,547459
2021-06-01,485097,504137,142,989376
2021-06-02,622331,627019,1,1249351
2021-06-03,284273,359294,1,643568
2021-06-04,369346,442609,1,811956
2021-06-05,127161,285876,0,413037
2021-06-06,77872,214420,0,292292
2021-06-07,248232,366596,0,614828
2021-06-08,413864,644132,7,1058003
2021-06-09,549429,879318,5,1428752
2021-06-10,497404,698103,5,1195512
2021-06-11,465242,601354,5,1066601
2021-06-12,160151,276473,1,436625
2021-06-13,78766,204093,0,282859
2021-06-14,271118,385340,2,656460
2021-06-15,410360,640677,0,1051037
2021-06-16,546891,839952,26,1386869
2021-06-17,472031,679533,0,1151564
2021-06-18,417261,578171,8,995440
2021-06-19,141545,286453,1,427999
2021-06-20,80886,214060,0,294946
2021-06-21,247766,385152,2,632920
2021-06-22,413602,666952,3,1080557
2021-06-23,527419,811870,4,1339293
2021-06-24,533930,505930,2,1039862
2021-06-25,423890,499707,8,923605
2021-06-26,151006,259680,4,410690
2021-06-27,94364,197729,4,292097
2021-06-28,269853,360872,2,630727
2021-06-29,414812,521275,0,936087
2021-06-30,477674,548637,6,1026317
2021-07-01,479320,507114,7,986441
2021-07-02,405306,444789,5,850100
2021-07-03,165314,212851,6,378171
2021-07-04,102448,171229,5,273682
2021-07-05,213132,325114,8,538254
2021-07-06,289037,492877,5,781919
2021-07-07,345897,654213,8,1000118
2021-07-08,285594,566795,11,852400
2021-07-09,242472,518253,12,760737
2021-07-10,106441,237812,5,344258
2021-07-11,69910,158381,5,228296
2021-07-12,166852,303421,12,470285
2021-07-13,201664,563616,14,765294
2021-07-14,228576,750493,9,979078
2021-07-15,195478,575627,7,771112
2021-07-16,175136,487878,14,663028
2021-07-17,90339,182582,8,272929
2021-07-18,71828,128798,5,200631
2021-07-19,106991,276513,11,383515
2021-07-20,142013,468908,27,610948
2021-07-21,170311,588838,6,759155
2021-07-22,136380,488930,19,625329
2021-07-23,133213,440526,23,573762
2021-07-24,65451,146817,22,212290
2021-07-25,38388,86291,6,124685
2021-07-26,83803,256185,18,340006
2021-07-27,112356,443534,54,555944
2021-07-28,137322,556257,135,693714
2021-07-29,121182,459360,127,580669
2021-07-30,111711,387849,186,499746
2021-07-31,60496,134943,185,195624
2021-08-01,37101,80261,171,117533
2021-08-02,70946,223956,154,295056
2021-08-03,91087,372944,230,464261
2021-08-04,111751,463615,265,575631
2021-08-05,100935,419119,225,520279
2021-08-06,97121,345151,255,442527
2021-08-07,54561,130864,177,185602
2021-08-08,27807,88357,142,116306
2021-08-09,61024,234267,291,295582
2021-08-10,86321,345211,203,431735
2021-08-11,120910,423119,323,544352
2021-08-12,119954,354607,358,474919
2021-08-13,115835,309137,400,425372
2021-08-14,67210,128402,272,195884
2021-08-15,38638,79625,186,118449
2021-08-16,82928,183165,238,266331
2021-08-17,113876,248379,248,362503
2021-08-18,137238,286358,316,423912
2021-08-19,121013,213784,377,335174
2021-08-20,132507,210033,455,342995
2021-08-21,73540,82720,361,156621
2021-08-22,40152,53741,353,94246
2021-08-23,91950,140962,339,233251
2021-08-24,121822,175984,486,298292
2021-08-25,141430,200777,542,342749
2021-08-26,133594,166769,608,300971
2021-08-27,114239,137994,1229,253462
2021-08-28,70816,65939,816,137571
2021-08-29,37582,47094,774,85450
2021-08-30,84888,105388,2154,192430
2021-08-31,111529,128450,3666,243645
2021-09-01,125792,154642,15701,296135
2021-09-02,112911,127839,17267,258017
2021-09-03,107019,124156,16373,247548
2021-09-04,48733,54812,4659,108204
2021-09-05,28499,32890,3341,64730
2021-09-06,64396,75828,15195,155419
2021-09-07,92715,107885,22905,223505
2021-09-08,104909,128949,27043,260901
2021-09-09,103833,123431,28752,256016
2021-09-10,89687,116396,21849,227932
2021-09-11,44036,60336,6197,110569
2021-09-12,23952,36265,4573,64790
2021-09-13,63792,82309,21070,167171
2021-09-14,93254,111045,33198,237497
2021-09-15,104825,138502,41146,284473
2021-09-16,106245,128017,42232,276494
2021-09-17,94242,123460,31625,249327
2021-09-18,41822,62965,7913,112700
2021-09-19,24775,39311,5504,69590
2021-09-20,52826,80628,25085,158539
2021-09-21,79760,112199,42548,234507
2021-09-22,90509,132297,52835,275641
2021-09-23,90976,124782,52964,268722
2021-09-24,81442,121521,38302,241265
2021-09-25,33187,58175,9058,100420
2021-09-26,17965,32800,5927,56692
2021-09-27,49489,74413,28072,151974
2021-09-28,73556,103424,46935,223915
2021-09-29,78278,118357,55178,251813
2021-09-30,78409,116245,49812,244466
2021-10-01,43982,59314,23972,127268
2021-10-02,13630,14914,3401,31945
2021-10-03,5414,6745,1724,13883
2021-10-04,32167,43430,19850,95447
2021-10-05,55115,84715,42513,182343
2021-10-06,58316,92964,53013,204293
2021-10-07,62374,96675,52252,211301
2021-10-08,57807,81901,42692,182400
2021-10-09,16240,19241,5278,40759
2021-10-10,6767,7991,2437,17195
2021-10-11,29624,41626,24297,95547
2021-10-12,50149,77415,51448,179012
2021-10-13,55191,87320,62808,205319
2021-10-14,55523,89790,62325,207638
2021-10-15,48307,74051,48044,170402
2021-10-16,15428,19389,6594,41411
2021-10-17,5808,7582,3360,16750
2021-10-18,25586,36745,29584,91915
2021-10-19,45128,73012,59171,177311
2021-10-20,48868,80617,74424,203909
2021-10-21,49710,80496,75477,205683
2021-10-22,41075,62780,55984,159839
2021-10-23,14986,17504,11347,43837
2021-10-24,4727,5774,3991,14492
2021-10-25,27691,39266,40033,106990
2021-10-26,44540,75141,89011,208692
2021-10-27,48470,82021,110279,240770
2021-10-28,50732,81953,114592,247277
2021-10-29,44151,66259,95266,205676
2021-10-30,15603,16738,19680,52021
2021-10-31,4699,5228,6357,16284
2021-11-01,13332,18534,31649,63515
2021-11-02,37800,60597,114505,212902
2021-11-03,52008,74308,163405,289721
2021-11-04,51581,74895,172231,298707
2021-11-05,44980,58312,150903,254195
2021-11-06,18098,15438,35675,69211
2021-11-07,8009,7577,16575,32161
2021-11-08,30980,35165,105544,171689
2021-11-09,55707,68463,212415,336585
2021-11-10,59514,71137,264701,395352
2021-11-11,63569,73895,272628,410092
2021-11-12,54337,51923,220461,326721
2021-11-13,25110,16589,58907,100606
2021-11-14,10979,8420,28749,48148
2021-11-15,42201,36891,161442,240534
2021-11-16,63378,64120,340748,468246
2021-11-17,68755,65240,410905,544900
2021-11-18,72967,69126,429022,571115
2021-11-19,72449,59618,396607,528674
2021-11-20,43355,19865,144872,208092
2021-11-21,16135,9180,65685,91000
2021-11-22,58732,33896,303119,395747
2021-11-23,95324,59317,533862,688503
2021-11-24,117050,71880,670278,859208
2021-11-25,114966,69523,652346,836835
2021-11-26,98464,58448,600042,756954
2021-11-27,73022,28043,408031,509096
2021-11-28,23224,10208,119241,152673
