date,pubDate,totalDosesCumulative,initialDosesCumulative,initialDosesCumulativeBioNTech,initialDosesCumulativeModerna,initialDosesCumulativeAstraZeneca,finalDosesCumulative,finalDosesCumulativeBioNTech,finalDosesCumulativeModerna,finalDosesCumulativeAstraZeneca,finalDosesCumulativeJohnsonAndJohnson,onlyPartiallyVaccinatedCumulative,onlyPartiallyVaccinatedPercent,onlyPartiallyVaccinatedCumulativeBioNTech,onlyPartiallyVaccinatedCumulativeModerna,onlyPartiallyVaccinatedCumulativeAstraZeneca,atLeastPartiallyVaccinatedCumulative,atLeastPartiallyVaccinatedPercent,atLeastPartiallyVaccinatedCumulativeBioNTech,atLeastPartiallyVaccinatedCumulativeModerna,atLeastPartiallyVaccinatedCumulativeAstraZeneca,atLeastPartiallyVaccinatedCumulativeJohnsonAndJohnson,fullyVaccinatedCumulative,fullyVaccinatedPercent,fullyVaccinatedCumulativeBioNTech,fullyVaccinatedCumulativeModerna,fullyVaccinatedCumulativeAstraZeneca,fullyVaccinatedCumulativeJohnsonAndJohnson
2020-12-26,2020-12-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-27,2020-12-28,21566,21566,21566,0,0,0,0,0,0,0,21566,0.025931048301284874,21566,0,0,21566,0.025931048301284874,21566,0,0,0,0,0,0,0,0,0
2020-12-29,2020-12-29,41962,41962,41962,0,0,0,0,0,0,0,41962,0.05045528372523954,41962,0,0,41962,0.05045528372523954,41962,0,0,0,0,0,0,0,0,0
2020-12-30,2020-12-31,131626,131626,131626,0,0,0,0,0,0,0,131626,0.15826765110381724,131626,0,0,131626,0.15826765110381724,131626,0,0,0,0,0,0,0,0,0
2020-12-31,2021-01-01,165575,165575,165575,0,0,0,0,0,0,0,165575,0.19908807022559782,165575,0,0,165575,0.19908807022559782,165575,0,0,0,0,0,0,0,0,0
2021-01-01,2021-01-02,188553,188553,188553,0,0,0,0,0,0,0,188553,0.22671691321302823,188553,0,0,188553,0.22671691321302823,188553,0,0,0,0,0,0,0,0,0
2021-01-02,2021-01-03,238809,238809,238809,0,0,0,0,0,0,0,238809,0.28714493711311967,238809,0,0,238809,0.28714493711311967,238809,0,0,0,0,0,0,0,0,0
2021-01-03,2021-01-04,265986,265986,265986,0,0,0,0,0,0,0,265986,0.3198226752047463,265986,0,0,265986,0.3198226752047463,265986,0,0,0,0,0,0,0,0,0
2021-01-04,2021-01-05,316962,316962,316962,0,0,0,0,0,0,0,316962,0.3811164301062717,316962,0,0,316962,0.3811164301062717,316962,0,0,0,0,0,0,0,0,0
2021-01-05,2021-01-06,367331,367331,367331,0,0,0,0,0,0,0,367331,0.4416803256774216,367331,0,0,367331,0.4416803256774216,367331,0,0,0,0,0,0,0,0,0
2021-01-06,2021-01-07,417060,417060,417060,0,0,0,0,0,0,0,417060,0.5014746825806301,417060,0,0,417060,0.5014746825806301,417060,0,0,0,0,0,0,0,0,0
2021-01-07,2021-01-08,476959,476959,476959,0,0,0,0,0,0,0,476959,0.5734974898790937,476959,0,0,476959,0.5734974898790937,476959,0,0,0,0,0,0,0,0,0
2021-01-08,2021-01-09,532878,532878,532878,0,0,0,0,0,0,0,532878,0.640734728586297,532878,0,0,532878,0.640734728586297,532878,0,0,0,0,0,0,0,0,0
2021-01-10,2021-01-11,613347,613347,613347,0,0,0,0,0,0,0,613347,0.7374909896340616,613347,0,0,613347,0.7374909896340616,613347,0,0,0,0,0,0,0,0,0
2021-01-11,2021-01-12,688782,688782,688782,0,0,0,0,0,0,0,688782,0.8281943480968005,688782,0,0,688782,0.8281943480968005,688782,0,0,0,0,0,0,0,0,0
2021-01-12,2021-01-13,758093,758093,758093,0,0,0,0,0,0,0,758093,0.9115341834306758,758093,0,0,758093,0.9115341834306758,758093,0,0,0,0,0,0,0,0,0
2021-01-13,2021-01-14,842455,842455,842455,0,0,0,0,0,0,0,842455,1.012971403907027,842455,0,0,842455,1.012971403907027,842455,0,0,0,0,0,0,0,0,0
2021-01-14,2021-01-15,961682,961682,961682,0,0,0,0,0,0,0,961682,1.1563304457236503,961682,0,0,961682,1.1563304457236503,961682,0,0,0,0,0,0,0,0,0
2021-01-15,2021-01-16,1048160,1048160,1048160,0,0,0,0,0,0,0,1048160,1.2603119534208826,1048160,0,0,1048160,1.2603119534208826,1048160,0,0,0,0,0,0,0,0,0
2021-01-17,2021-01-18,1145878,1139297,1136573,2724,0,6581,6581,0,0,0,1132716,1.3619824403059537,1129992,2724,0,1139297,1.3698954621398938,1136573,2724,0,0,6581,0.007913021833940265,6581,0,0,0
2021-01-18,2021-01-19,1220284,1195543,1183213,12330,0,24741,24741,0,0,0,1170802,1.4077772054734736,1158472,12330,0,1195543,1.4375258870102487,1183213,12330,0,0,24741,0.029748681536774974,24741,0,0,0
2021-01-19,2021-01-20,1297430,1254760,1239546,15214,0,42670,42670,0,0,0,1212090,1.4574220687890376,1196876,15214,0,1254760,1.508728654665687,1239546,15214,0,0,42670,0.05130658587664961,42670,0,0,0
2021-01-20,2021-01-21,1401693,1324091,1307763,16328,0,77602,77602,0,0,0,1246489,1.4987835697867142,1230161,16328,0,1324091,1.5920925380829356,1307763,16328,0,0,77602,0.0933089682962213,77602,0,0,0
2021-01-21,2021-01-22,1501639,1386464,1368374,18090,0,115175,115175,0,0,0,1271289,1.5286031931694402,1253199,18090,0,1386464,1.6670900932946597,1368374,18090,0,0,115175,0.13848690012521958,115175,0,0,0
2021-01-22,2021-01-23,1632777,1469353,1451061,19651,0,163424,163424,0,0,0,1305929,1.5702544735717634,1287637,19651,0,1469353,1.7667561724305774,1451061,19651,0,0,163424,0.19650169885881386,163424,0,0,0
2021-01-24,2021-01-25,1783118,1554355,1535804,20351,0,228763,228763,0,0,0,1325592,1.5938973467400919,1307041,20351,0,1554355,1.8689629315748701,1535804,20351,0,0,228763,0.27506558483477844,228763,0,0,0
2021-01-25,2021-01-26,1921689,1638425,1608114,30311,0,283264,283264,0,0,0,1355161,1.629451235603149,1324850,30311,0,1638425,1.9700490500339733,1608114,30311,0,0,283264,0.3405978144308244,283264,0,0,0
2021-01-26,2021-01-27,1990889,1672215,1648554,23661,0,318674,318674,0,0,0,1353541,1.6275033408499224,1329880,23661,0,1672215,2.0106782868929374,1648554,23661,0,0,318674,0.3831749460430147,318674,0,0,0
2021-01-27,2021-01-28,2104317,1738236,1712717,25519,0,366081,366081,0,0,0,1372155,1.649884892045328,1346636,25519,0,1738236,2.090062212511927,1712717,25519,0,0,366081,0.4401773204665987,366081,0,0,0
2021-01-28,2021-01-29,2216127,1799481,1767170,32311,0,416646,416646,0,0,0,1382835,1.6627265685665988,1350524,32311,0,1799481,2.1637034558214046,1767170,32311,0,0,416646,0.5009768872548056,416646,0,0,0
2021-01-29,2021-01-30,2317158,1855457,1821630,33827,0,461701,461701,0,0,0,1393756,1.6758580244925159,1359929,33827,0,1855457,2.231009231566221,1821630,33827,0,0,461701,0.5551512070737052,461701,0,0,0
